SEQ_1
0,0,0,2,2,0,0,0,64,1,0,1,1,32,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,64,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,64,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,64,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,32,1,0,16,16,68,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,32,1,0,16,16,68,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,32,1,0,16,80,4,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,32,1,0,80,16,4,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,64,1,16,1,1,32,1,0,16,16,4,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,64,1,16,1,1,32,1,0,16,16,4,18,2,0,0,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,8,2,2,0,0,0,64,1,8,1,1,32,1,0,8,8,8,8,2,0,0,0,2,1,8,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,64,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,64,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,64,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,64,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,64,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,64,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,64,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,64,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,64,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,0,16,16,68,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,0,16,16,68,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,0,16,80,4,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,0,80,16,4,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,64,16,16,4,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,18,1,0,0,0,64,16,16,4,18,0,2,1,2,1,1,18,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,8,1,0,0,0,64,8,8,8,8,0,2,1,2,1,1,8,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,32,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,32,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,32,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,32,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,32,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,32,0,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,32,0,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,2,0,2,0,0,0,0,2,128;5
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,16,2,1,0,1,1,0,1,16,0,0,64,0,0,16,16,36,2,1,2,1,1,0,1,18,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,16,2,1,0,1,1,0,1,16,0,0,64,0,0,16,16,36,2,1,2,1,1,0,1,18,0,2,0,0,0,0,2,128;3
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,16,2,1,0,1,1,0,1,16,0,0,64,0,0,16,48,4,2,1,2,1,1,0,1,18,0,2,0,0,0,0,2,128;3
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,16,2,1,0,1,1,0,1,16,0,0,64,0,0,48,16,4,2,1,2,1,1,0,1,18,0,2,0,0,0,0,2,128;3
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,16,2,1,0,1,1,0,1,16,0,0,64,0,32,16,16,4,2,1,2,1,1,0,1,18,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,8,2,1,0,1,1,0,1,8,0,0,64,0,32,8,8,8,2,1,2,1,1,0,1,8,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,32,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,32,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,32,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,32,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,32,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,0,1,32,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,64,0,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,64,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,64,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,64,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,64,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,64,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,64,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,192;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,2,0,0,0,0,2,192;0
SEQ_3
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,160;0
64,0,0,2,2,0,0,32,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,32,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,32,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,32,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;2
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,32,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;2
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,2,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;5
64,0,0,2,2,0,0,16,0,1,0,1,1,0,1,16,0,0,0,2,2,16,16,36,2,1,2,1,1,2,1,18,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,16,0,1,0,1,1,0,1,16,0,0,0,2,2,16,16,36,2,1,2,1,1,2,1,18,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;3
64,0,0,2,2,0,0,16,0,1,0,1,1,0,1,16,0,0,0,2,2,16,48,4,2,1,2,1,1,2,1,18,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;3
64,0,0,2,2,0,0,16,0,1,0,1,1,0,1,16,0,0,0,2,2,48,16,4,2,1,2,1,1,2,1,18,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;1
64,0,0,2,2,0,0,16,0,1,0,1,1,32,1,16,0,0,0,2,2,16,16,4,2,1,2,1,1,2,1,18,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,8,0,1,0,1,1,32,1,8,0,0,0,2,2,8,8,8,2,1,2,1,1,2,1,8,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,32,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;2
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,32,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;4
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,32,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;4
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,32,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;2
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,32,0,0,0,0,0,0,2,0,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;2
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,32,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,2,32,2,1,2,1,1,2,1,2,0,2,0,0,0,0,2,128;5
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,16,2,1,2,1,1,2,1,16,0,0,0,0,0,0,18,36,2,1,2,1,1,2,1,18,0,2,0,0,0,0,2,128;0
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,16,2,1,2,1,1,2,1,16,0,0,0,0,0,0,18,36,2,1,2,1,1,2,1,18,0,2,0,0,0,0,2,128;1
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,16,2,1,2,1,1,2,1,48,0,0,0,0,0,0,18,4,2,1,2,1,1,2,1,18,0,2,0,0,0,0,2,128;1
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,0,48,2,1,2,1,1,2,1,16,0,0,0,0,0,0,18,4,2,1,2,1,1,2,1,18,0,2,0,0,0,0,2,128;3
64,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,2,0,32,16,2,1,2,1,1,2,1,16,0,0,0,0,0,0,18,4,2,1,2,1,1,2,1,18,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,2,2,0,32,8,2,1,2,1,1,2,1,8,0,0,0,0,0,0,8,8,2,1,2,1,1,2,1,8,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,64,0,0,2,2,0,32,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,64,0,2,2,0,32,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,64,2,2,0,32,0,2,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,0,1,0,16,16,68,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,0,1,0,16,16,68,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,0,1,0,16,80,4,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,0,1,16,1,1,0,1,0,80,16,4,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,64,1,16,1,1,0,1,0,16,16,4,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,16,2,2,0,0,0,64,1,16,1,1,0,1,0,16,16,4,18,2,0,32,0,2,1,18,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;0
0,0,8,2,2,0,0,0,64,1,8,1,1,0,1,0,8,8,8,8,2,0,32,0,2,1,8,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,32,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;4
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,32,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,32,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,32,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,32,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,32,0,2,0,0,0,0,2,128;0
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,32,0,2,0,0,0,0,2,128;2
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,64,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,64,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,64,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,64,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,64,1,1,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,64,0,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,64,0,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
0,0,0,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0,0,0,0,0,64,0,0,0,2,1,2,1,1,2,1,0,0,2,0,0,0,0,2,160;0
